# Program:featureCounts v2.1.1; Command:"featureCounts" "-a" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/00_rawdata/fastq_data/reference/NZ_CP076404.1.gtf" "-o" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/03_annotation/counts/raw_counts.txt" "-T" "8" "-p" "-B" "-t" "CDS" "-g" "gene_id" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613403.bam" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613404.bam" "/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613405.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613403.bam	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613404.bam	/home/StudentFirst/BIFS619/Group_Project/BIFS619_GROUP_01/01_allignment/alignment/bam/SRR9613405.bam
KJY95_RS00560	NZ_CP076404.1	120181	121551	-	1371	1415	1353	1005
KJY95_RS00565	NZ_CP076404.1	122092	122853	+	762	14890	5819	2113
KJY95_RS00570	NZ_CP076404.1	123017	125677	+	2661	72494	63376	38009
KJY95_RS00575	NZ_CP076404.1	125695	127584	+	1890	24864	29922	19090
KJY95_RS00580	NZ_CP076404.1	127912	129333	+	1422	44210	48951	37040
KJY95_RS00585	NZ_CP076404.1	129410	131260	-	1851	964	1010	765
KJY95_RS00590	NZ_CP076404.1	131615	134209	+	2595	37544	36855	27816
KJY95_RS00595	NZ_CP076404.1	134388	134747	+	360	556	671	511
KJY95_RS00600	NZ_CP076404.1	134791	135582	-	792	979	1269	1059
KJY95_RS00605	NZ_CP076404.1	135601	136464	-	864	2677	3349	3186
KJY95_RS00610	NZ_CP076404.1	136573	136917	-	345	1816	2289	2578
KJY95_RS00615	NZ_CP076404.1	137083	138630	+	1548	1183	1705	1266
KJY95_RS00620	NZ_CP076404.1	138838	141225	-	2388	9843	8268	5128
KJY95_RS00625	NZ_CP076404.1	141431	141964	+	534	2983	3779	2910
KJY95_RS00630	NZ_CP076404.1	142011	142670	-	660	5737	5724	5527
KJY95_RS00635	NZ_CP076404.1	142779	143702	+	924	1966	2724	2184
KJY95_RS00640	NZ_CP076404.1	143702	144469	+	768	1078	1326	1134
KJY95_RS00645	NZ_CP076404.1	144577	145014	+	438	588	726	579
KJY95_RS00650	NZ_CP076404.1	145081	146307	+	1227	2186	2192	1797
KJY95_RS00655	NZ_CP076404.1	146317	146694	-	378	2404	2685	2395
KJY95_RS00660	NZ_CP076404.1	146968	147867	+	900	581	657	552
KJY95_RS00665	NZ_CP076404.1	147947	148795	-	849	3003	3246	2623
KJY95_RS00670	NZ_CP076404.1	148810	149601	-	792	3428	3603	2955
KJY95_RS00675	NZ_CP076404.1	149718	150965	-	1248	1517	1623	1442
KJY95_RS00680	NZ_CP076404.1	151006	151599	-	594	532	545	345
KJY95_RS00685	NZ_CP076404.1	151629	152231	-	603	317	396	306
KJY95_RS00690	NZ_CP076404.1	152246	152812	-	567	192	221	156
KJY95_RS00695	NZ_CP076404.1	152832	155426	-	2595	665	654	627
KJY95_RS00700	NZ_CP076404.1	155464	156201	-	738	249	292	287
KJY95_RS00705	NZ_CP076404.1	156302	156883	-	582	184	173	170
KJY95_RS00710	NZ_CP076404.1	157256	157732	-	477	543	543	413
KJY95_RS00715	NZ_CP076404.1	157732	159126	-	1395	10320	9848	7889
KJY95_RS00720	NZ_CP076404.1	159189	160082	-	894	1321	1178	1034
KJY95_RS00725	NZ_CP076404.1	160152	160604	-	453	6771	6958	5949
KJY95_RS00730	NZ_CP076404.1	160785	161486	-	702	564	677	698
KJY95_RS00735	NZ_CP076404.1	161504	162031	-	528	595	446	413
KJY95_RS00740	NZ_CP076404.1	162105	164531	+	2427	3205	3033	2285
KJY95_RS00745	NZ_CP076404.1	164730	167261	+	2532	4067	4592	3435
KJY95_RS00750	NZ_CP076404.1	167484	169724	+	2241	1381	1452	1150
KJY95_RS00755	NZ_CP076404.1	169778	170572	+	795	343	338	295
KJY95_RS00760	NZ_CP076404.1	170575	171462	+	888	193	236	173
KJY95_RS00765	NZ_CP076404.1	171462	173441	+	1980	1023	895	712
KJY95_RS00770	NZ_CP076404.1	173605	174882	-	1278	4274	4260	3168
KJY95_RS00775	NZ_CP076404.1	175048	175092	+	45	97	93	101
KJY95_RS00780	NZ_CP076404.1	175107	176525	+	1419	1710	1840	1316
KJY95_RS00785	NZ_CP076404.1	176552	176614	+	63	28	38	24
KJY95_RS00790	NZ_CP076404.1	176610	176951	+	342	1787	1929	1455
KJY95_RS00795	NZ_CP076404.1	177004	177624	-	621	1103	1021	879
KJY95_RS00800	NZ_CP076404.1	177665	178462	-	798	927	939	746
KJY95_RS00805	NZ_CP076404.1	178458	179153	-	696	4016	4443	3697
KJY95_RS00810	NZ_CP076404.1	179237	180751	+	1515	1320	1526	1402
KJY95_RS00815	NZ_CP076404.1	180884	182305	+	1422	2120	1870	1823
KJY95_RS00820	NZ_CP076404.1	182463	183617	+	1155	385	443	466
KJY95_RS00825	NZ_CP076404.1	183712	184095	-	384	565	633	690
KJY95_RS00830	NZ_CP076404.1	184260	185069	-	810	537	642	430
KJY95_RS00835	NZ_CP076404.1	185126	185947	-	822	3045	3326	3195
KJY95_RS00840	NZ_CP076404.1	185981	188650	-	2670	2440	2489	1924
KJY95_RS00845	NZ_CP076404.1	188715	189506	-	792	4949	5457	5066
KJY95_RS00850	NZ_CP076404.1	189874	190596	+	723	123511	155963	133917
KJY95_RS00855	NZ_CP076404.1	190857	191705	+	849	46168	57023	45551
KJY95_RS00860	NZ_CP076404.1	191855	192577	+	723	4595	5445	3922
KJY95_RS00865	NZ_CP076404.1	192872	193426	+	555	10152	11641	9283
KJY95_RS00870	NZ_CP076404.1	193521	194714	+	1194	1515	1658	1394
KJY95_RS00875	NZ_CP076404.1	194906	195661	+	756	8233	9277	6843
KJY95_RS00880	NZ_CP076404.1	195677	196531	+	855	5838	7108	4527
KJY95_RS00885	NZ_CP076404.1	196546	197895	+	1350	9772	10981	7980
KJY95_RS00890	NZ_CP076404.1	197928	200357	+	2430	14694	16726	12652
KJY95_RS00895	NZ_CP076404.1	200482	200964	+	483	4129	4762	4182
KJY95_RS00900	NZ_CP076404.1	200971	201993	+	1023	7714	8286	6655
KJY95_RS00905	NZ_CP076404.1	202101	202553	+	453	5626	7079	6020
KJY95_RS00910	NZ_CP076404.1	202560	203345	+	786	6895	7634	5793
KJY95_RS00915	NZ_CP076404.1	203348	204493	+	1146	3013	3209	2159
KJY95_RS00920	NZ_CP076404.1	204493	205086	+	594	1016	994	744
KJY95_RS00925	NZ_CP076404.1	205126	208605	+	3480	4667	4583	4023
KJY95_RS00930	NZ_CP076404.1	208621	209577	+	957	5092	5816	4419
KJY95_RS00935	NZ_CP076404.1	209679	211817	+	2139	1229	1245	1010
KJY95_RS00940	NZ_CP076404.1	211877	212263	+	387	431	424	403
KJY95_RS00945	NZ_CP076404.1	212331	213626	+	1296	2362	2104	1801
KJY95_RS00950	NZ_CP076404.1	213681	213938	-	258	699	694	554
KJY95_RS00955	NZ_CP076404.1	213928	214125	-	198	572	643	504
KJY95_RS00960	NZ_CP076404.1	214291	214833	+	543	855	824	621
KJY95_RS00965	NZ_CP076404.1	214833	215252	+	420	390	421	329
KJY95_RS00970	NZ_CP076404.1	215269	215976	+	708	1990	2026	2045
KJY95_RS00975	NZ_CP076404.1	216182	217003	-	822	713	767	640
KJY95_RS00980	NZ_CP076404.1	217060	218775	-	1716	9544	10900	8969
KJY95_RS00985	NZ_CP076404.1	218890	219594	-	705	780	687	568
KJY95_RS00990	NZ_CP076404.1	219594	219995	-	402	859	803	663
KJY95_RS00995	NZ_CP076404.1	220116	220928	-	813	1644	1848	1554
KJY95_RS01000	NZ_CP076404.1	220971	221621	-	651	793	917	656
KJY95_RS01005	NZ_CP076404.1	221617	222645	-	1029	1465	1382	965
KJY95_RS01010	NZ_CP076404.1	222833	223405	+	573	774	1026	869
KJY95_RS01045	NZ_CP076404.1	229167	229967	+	801	832	1204	917
KJY95_RS01050	NZ_CP076404.1	229970	230881	-	912	680	864	646
KJY95_RS01055	NZ_CP076404.1	231122	231919	+	798	1563	1585	1487
KJY95_RS01060	NZ_CP076404.1	231926	232546	+	621	678	666	580
KJY95_RS01065	NZ_CP076404.1	232600	233955	-	1356	14288	14710	12928
KJY95_RS01070	NZ_CP076404.1	234030	234782	-	753	879	1076	923
KJY95_RS01075	NZ_CP076404.1	234816	235535	+	720	1113	1317	1193
KJY95_RS01080	NZ_CP076404.1	235538	236002	-	465	826	846	879
KJY95_RS01085	NZ_CP076404.1	236067	236795	+	729	2712	2841	2454
KJY95_RS01095	NZ_CP076404.1	237335	238117	+	783	1707	1749	1335
KJY95_RS01100	NZ_CP076404.1	238260	238736	-	477	206	203	229
KJY95_RS01105	NZ_CP076404.1	238749	239102	-	354	154	166	108
KJY95_RS01110	NZ_CP076404.1	239091	239375	+	285	174	173	180
KJY95_RS01115	NZ_CP076404.1	239422	240189	-	768	800	736	608
KJY95_RS01120	NZ_CP076404.1	240370	240813	+	444	380	419	354
KJY95_RS01125	NZ_CP076404.1	240862	243303	-	2442	1194	1289	1496
KJY95_RS01130	NZ_CP076404.1	243543	244118	+	576	2025	2318	1930
KJY95_RS01135	NZ_CP076404.1	244327	245091	+	765	2196	2415	1878
KJY95_RS01140	NZ_CP076404.1	245068	245805	-	738	5802	6896	6678
KJY95_RS01145	NZ_CP076404.1	245964	246239	-	276	978	1010	970
KJY95_RS01150	NZ_CP076404.1	246245	246502	-	258	1343	1437	1340
KJY95_RS01155	NZ_CP076404.1	246712	247458	+	747	226	214	155
KJY95_RS01160	NZ_CP076404.1	247637	248131	+	495	163	143	166
KJY95_RS01165	NZ_CP076404.1	248361	250076	-	1716	462	463	346
KJY95_RS01170	NZ_CP076404.1	250042	250824	+	783	273	194	157
KJY95_RS01175	NZ_CP076404.1	250898	251950	+	1053	1869	1501	1187
KJY95_RS01180	NZ_CP076404.1	252005	252295	+	291	304	302	265
KJY95_RS01185	NZ_CP076404.1	252301	252696	+	396	307	282	222
KJY95_RS01190	NZ_CP076404.1	252709	253158	+	450	295	291	278
KJY95_RS01195	NZ_CP076404.1	253479	253682	+	204	75	47	71
KJY95_RS01200	NZ_CP076404.1	253696	254199	+	504	203	223	168
KJY95_RS01205	NZ_CP076404.1	254262	255716	-	1455	2254	2657	2407
KJY95_RS01210	NZ_CP076404.1	256041	257018	-	978	12	9	14
KJY95_RS01215	NZ_CP076404.1	257262	258662	+	1401	270	270	223
KJY95_RS01220	NZ_CP076404.1	258652	259581	+	930	591	562	421
KJY95_RS01225	NZ_CP076404.1	259696	260739	-	1044	424	328	262
KJY95_RS01230	NZ_CP076404.1	260754	261098	-	345	108	64	61
KJY95_RS01235	NZ_CP076404.1;NZ_CP076404.1	261118;261563	261563;261812	-;-	695	49	40	30
KJY95_RS01240	NZ_CP076404.1	261868	262038	+	171	99	114	79
KJY95_RS01245	NZ_CP076404.1	262054	262299	-	246	224	272	252
KJY95_RS01250	NZ_CP076404.1	262325	262672	-	348	212	232	211
KJY95_RS01255	NZ_CP076404.1	262689	262751	-	63	4	6	4
KJY95_RS01260	NZ_CP076404.1	262769	263920	-	1152	161	162	164
KJY95_RS01265	NZ_CP076404.1	264215	265120	+	906	188	229	185
KJY95_RS01270	NZ_CP076404.1	265138	267102	+	1965	465	458	692
KJY95_RS01275	NZ_CP076404.1	267332	268711	+	1380	490	354	340
KJY95_RS01280	NZ_CP076404.1	268726	270333	+	1608	1178	859	749
KJY95_RS01285	NZ_CP076404.1	270344	271099	-	756	2740	2270	1942
KJY95_RS01290	NZ_CP076404.1	271241	272242	-	1002	255	254	201
KJY95_RS01295	NZ_CP076404.1	272215	272307	-	93	16	8	4
KJY95_RS01300	NZ_CP076404.1	272366	272566	+	201	71	120	78
KJY95_RS01305	NZ_CP076404.1;NZ_CP076404.1	272589;273034	273034;273283	-;-	695	140	208	144
KJY95_RS01310	NZ_CP076404.1	273437	274165	+	729	1065	1097	959
KJY95_RS01315	NZ_CP076404.1	274262	274885	-	624	1052	1153	899
KJY95_RS01320	NZ_CP076404.1	275160	275855	-	696	561	559	532
KJY95_RS01325	NZ_CP076404.1	275885	276736	-	852	530	619	558
KJY95_RS01330	NZ_CP076404.1	276858	277079	-	222	71	87	79
KJY95_RS01335	NZ_CP076404.1	277079	277516	-	438	1019	1091	1246
KJY95_RS01340	NZ_CP076404.1	277636	279033	-	1398	3191	3089	2900
KJY95_RS01345	NZ_CP076404.1	279321	279656	-	336	1063	809	684
KJY95_RS01350	NZ_CP076404.1	279710	280663	-	954	1312	956	700
KJY95_RS01355	NZ_CP076404.1	280676	282871	-	2196	401	297	297
KJY95_RS01360	NZ_CP076404.1	282871	283824	-	954	168	148	134
KJY95_RS01365	NZ_CP076404.1	283824	284510	-	687	152	158	121
KJY95_RS01370	NZ_CP076404.1	284928	285539	+	612	1145	1714	1341
KJY95_RS01375	NZ_CP076404.1	285793	286119	-	327	435	511	425
KJY95_RS01380	NZ_CP076404.1	286435	287142	-	708	408	450	323
KJY95_RS01385	NZ_CP076404.1	287114	288754	-	1641	777	748	574
KJY95_RS01390	NZ_CP076404.1	288747	291269	-	2523	576	510	525
KJY95_RS01395	NZ_CP076404.1	291298	291963	-	666	90	93	73
KJY95_RS01400	NZ_CP076404.1	292024	292608	-	585	320	267	173
KJY95_RS01405	NZ_CP076404.1	292686	293225	-	540	89	88	81
KJY95_RS01410	NZ_CP076404.1	294049	294273	+	225	93	88	113
KJY95_RS01415	NZ_CP076404.1	294314	294451	-	138	26	25	27
KJY95_RS01420	NZ_CP076404.1	294454	294714	-	261	35	46	52
KJY95_RS22370	NZ_CP076404.1	295081	295179	-	99	15	29	35
KJY95_RS01430	NZ_CP076404.1	295656	295742	-	87	19	19	28
KJY95_RS01435	NZ_CP076404.1	296294	297166	+	873	128	95	81
KJY95_RS01440	NZ_CP076404.1;NZ_CP076404.1	297228;297489	297489;298387	+;+	1160	72	77	71
KJY95_RS01445	NZ_CP076404.1	298423	299073	-	651	534	594	529
KJY95_RS01450	NZ_CP076404.1	299376	299501	+	126	103	123	98
KJY95_RS01455	NZ_CP076404.1	299666	300256	-	591	264	248	230
KJY95_RS01460	NZ_CP076404.1	300271	300504	-	234	69	89	74
KJY95_RS01465	NZ_CP076404.1	300616	301938	-	1323	194	172	250
KJY95_RS01470	NZ_CP076404.1	302164	303015	+	852	395	337	349
KJY95_RS01475	NZ_CP076404.1	303545	304261	+	717	171	219	194
KJY95_RS01480	NZ_CP076404.1	304275	305699	+	1425	324	351	345
KJY95_RS01485	NZ_CP076404.1	305695	306387	+	693	190	218	193
KJY95_RS01490	NZ_CP076404.1	306636	307301	-	666	194	152	170
KJY95_RS01495	NZ_CP076404.1	307517	309184	-	1668	1436	1031	827
KJY95_RS01500	NZ_CP076404.1	309201	310670	-	1470	4593	3430	2907
KJY95_RS01505	NZ_CP076404.1	310687	311271	-	585	4085	2990	2716
KJY95_RS01510	NZ_CP076404.1	311400	313430	+	2031	6709	5866	5151
KJY95_RS01515	NZ_CP076404.1	313739	313810	+	72	35	44	53
KJY95_RS01520	NZ_CP076404.1	314308	315393	+	1086	6588	5916	4744
KJY95_RS01525	NZ_CP076404.1	315441	316370	-	930	2299	1965	1524
KJY95_RS01530	NZ_CP076404.1	316465	316959	-	495	196	165	160
KJY95_RS01535	NZ_CP076404.1	317217	317819	+	603	126	115	143
KJY95_RS01540	NZ_CP076404.1	317862	318722	+	861	129	112	115
KJY95_RS01545	NZ_CP076404.1	318715	320259	+	1545	216	225	151
KJY95_RS01550	NZ_CP076404.1	320262	321677	+	1416	209	166	160
KJY95_RS01555	NZ_CP076404.1	321730	322023	+	294	62	59	34
KJY95_RS01560	NZ_CP076404.1	322102	323049	+	948	201	189	140
KJY95_RS01565	NZ_CP076404.1	323062	324441	+	1380	431	379	359
KJY95_RS01570	NZ_CP076404.1	324660	324731	+	72	21	20	14
KJY95_RS01575	NZ_CP076404.1	324821	325867	+	1047	310	336	255
KJY95_RS01580	NZ_CP076404.1	326113	326925	+	813	244	334	276
KJY95_RS01585	NZ_CP076404.1	327341	327583	+	243	803	774	717
KJY95_RS01590	NZ_CP076404.1	327606	328274	-	669	845	757	569
KJY95_RS01595	NZ_CP076404.1	328421	328693	+	273	257	270	209
KJY95_RS01600	NZ_CP076404.1	328797	330380	-	1584	402	350	264
KJY95_RS01605	NZ_CP076404.1	330619	331506	+	888	136	109	87
KJY95_RS01610	NZ_CP076404.1	331949	333115	+	1167	94	101	126
KJY95_RS01615	NZ_CP076404.1	333152	334600	+	1449	163	191	203
KJY95_RS01620	NZ_CP076404.1	334643	336526	+	1884	258	293	198
KJY95_RS01625	NZ_CP076404.1	336859	338115	+	1257	1088	900	624
KJY95_RS01630	NZ_CP076404.1	338108	339388	+	1281	1368	1328	1046
KJY95_RS01635	NZ_CP076404.1	339731	340627	-	897	324	337	267
KJY95_RS01640	NZ_CP076404.1	340736	341392	+	657	166	164	152
KJY95_RS01645	NZ_CP076404.1	341426	341893	+	468	66	68	60
KJY95_RS01650	NZ_CP076404.1	341902	343080	+	1179	279	271	185
KJY95_RS01655	NZ_CP076404.1	343189	343593	-	405	88	103	85
KJY95_RS01660	NZ_CP076404.1;NZ_CP076404.1	343612;344057	344057;344306	-;-	695	21	36	30
KJY95_RS01665	NZ_CP076404.1	344366	345337	-	972	231	268	214
KJY95_RS01670	NZ_CP076404.1	345392	348463	-	3072	1806	1870	1557
KJY95_RS01675	NZ_CP076404.1	348589	349668	-	1080	1238	1122	870
KJY95_RS01680	NZ_CP076404.1	349748	350578	-	831	580	415	366
KJY95_RS01685	NZ_CP076404.1	350769	352430	+	1662	190	169	179
KJY95_RS01690	NZ_CP076404.1	352435	353376	+	942	161	147	68
